P[ (x=5,y=8) | steps=3 ] = 0.0
P[ (x=8,y=7) | steps=3 ] = 0.0
P[ (x=6,y=6) | steps=4 ] = 0.21484375
P[ (x=9,y=5) | steps=4 ] = 0.0
P[ (x=8,y=1) | steps=3 ] = 0.0
P[ (x=8,y=3) | steps=3 ] = 0.0
P[ (x=8,y=2) | steps=2 ] = 0.0
P[ (x=5,y=-1) | steps=2 ] = 0.0
P[ (x=9,y=-1) | steps=2 ] = 0.0
P[ (x=9,y=1) | steps=2 ] = 0.0
P[ (x=6,y=-2) | steps=2 ] = 0.0
P[ (x=8,y=-2) | steps=2 ] = 0.0
P[ (x=7,y=0) | steps=3 ] = 0.125
P[ (x=6,y=2) | steps=4 ] = 0.287109375
P[ (x=8,y=2) | steps=4 ] = 0.0
P[ (x=7,y=4) | steps=5 ] = 0.16424560546875
P[ (x=5,y=9) | steps=4 ] = 0.0
P[ (x=2,y=8) | steps=4 ] = 0.0
P[ (x=3,y=9) | steps=4 ] = 0.0
P[ (x=6,y=8) | steps=4 ] = 0.0
P[ (x=3,y=5) | steps=4 ] = 0.4287109375
P[ (x=4,y=7) | steps=5 ] = 0.16424560546875
P[ (x=8,y=8) | steps=4 ] = 0.0
P[ (x=9,y=5) | steps=4 ] = 0.0
P[ (x=6,y=8) | steps=4 ] = 0.0
P[ (x=9,y=7) | steps=4 ] = 0.0
P[ (x=8,y=3) | steps=3 ] = 0.0
P[ (x=8,y=5) | steps=3 ] = 0.0
P[ (x=6,y=4) | steps=4 ] = 0.323486328125
P[ (x=8,y=4) | steps=4 ] = 0.0
P[ (x=7,y=6) | steps=5 ] = 0.11328125
P[ (x=2,y=-1) | steps=3 ] = 0.0
P[ (x=4,y=-1) | steps=3 ] = 0.0
P[ (x=3,y=1) | steps=4 ] = 0.323486328125
P[ (x=4,y=-1) | steps=3 ] = 0.0
P[ (x=6,y=-1) | steps=3 ] = 0.0
P[ (x=5,y=1) | steps=4 ] = 0.287109375
P[ (x=4,y=3) | steps=5 ] = 0.35565185546875
P[ (x=8,y=2) | steps=4 ] = 0.0
P[ (x=8,y=4) | steps=4 ] = 0.0
P[ (x=8,y=3) | steps=3 ] = 0.0
P[ (x=9,y=0) | steps=3 ] = 0.0
P[ (x=9,y=2) | steps=3 ] = 0.0
P[ (x=6,y=-1) | steps=3 ] = 0.0
P[ (x=8,y=-1) | steps=3 ] = 0.0
P[ (x=7,y=1) | steps=4 ] = 0.1533203125
P[ (x=6,y=3) | steps=5 ] = 0.241851806640625
P[ (x=5,y=5) | steps=6 ] = 0.21875762939453125
0.21875762939453125
knight_probability_v2.py execution: SUCCESS
